time,value
2021-09-30T10:34:08.302Z,42
2021-09-30T10:34:08.916Z,48
2021-09-30T10:34:09.326Z,58
2021-09-30T10:34:09.952Z,62
2021-09-30T10:34:10.360Z,80
2021-09-30T10:34:10.963Z,78
2021-09-30T10:34:11.379Z,60
2021-09-30T10:34:12.088Z,50
2021-09-30T10:34:13.110Z,42
2021-09-30T10:34:14.034Z,46
2021-09-30T10:35:03.982Z,46
2021-09-30T10:35:04.491Z,50
2021-09-30T10:35:04.994Z,66
2021-09-30T10:35:05.609Z,42
2021-09-30T10:35:06.121Z,60
2021-09-30T10:35:06.633Z,84
2021-09-30T10:35:07.143Z,252
2021-09-30T10:35:07.665Z,246
2021-09-30T10:35:08.169Z,262
2021-09-30T10:35:08.685Z,142
2021-09-30T10:35:09.190Z,272
2021-09-30T10:35:10.216Z,314
2021-09-30T10:35:10.827Z,148
2021-09-30T10:35:11.339Z,202
2021-09-30T10:35:12.362Z,182
2021-09-30T10:35:12.876Z,144
2021-09-30T10:35:13.384Z,376
2021-09-30T10:35:13.897Z,434
2021-09-30T10:35:14.306Z,216
2021-09-30T10:35:14.920Z,212
2021-09-30T10:35:15.574Z,296
2021-09-30T10:35:16.047Z,890
2021-09-30T10:35:16.563Z,256
2021-09-30T10:35:17.070Z,138
2021-09-30T10:35:18.194Z,70
2021-09-30T10:35:19.224Z,74
2021-09-30T10:35:19.730Z,90
2021-09-30T10:35:20.249Z,82
2021-09-30T10:35:21.368Z,74
2021-09-30T10:35:21.778Z,62
2021-09-30T10:35:22.390Z,60
2021-09-30T10:35:22.816Z,62
2021-09-30T10:35:23.414Z,78
2021-09-30T10:35:24.440Z,58
2021-09-30T10:35:25.052Z,50
2021-09-30T10:35:26.078Z,58
2021-09-30T10:35:27.101Z,44
2021-09-30T10:35:28.327Z,252
2021-09-30T10:35:28.735Z,262
2021-09-30T10:35:29.369Z,152
2021-09-30T10:35:29.761Z,212
2021-09-30T10:35:30.376Z,220
2021-09-30T10:35:30.783Z,346
2021-09-30T10:35:31.396Z,232
2021-09-30T10:35:32.010Z,130
2021-09-30T10:35:33.033Z,368
2021-09-30T10:35:34.072Z,200
2021-09-30T10:35:35.081Z,416
2021-09-30T10:35:35.693Z,392
2021-09-30T10:35:36.103Z,164
2021-09-30T10:35:37.131Z,278
2021-09-30T10:35:37.744Z,354
2021-09-30T10:35:38.150Z,332
2021-09-30T10:35:39.377Z,116
2021-09-30T10:35:40.406Z,80
2021-09-30T10:35:41.015Z,144
2021-09-30T10:35:42.038Z,48
2021-09-30T10:35:43.063Z,54
2021-09-30T10:35:44.190Z,50
2021-09-30T10:35:44.598Z,46
2021-09-30T10:35:45.211Z,44
2021-09-30T10:35:46.234Z,42
2021-09-30T10:35:46.851Z,48
2021-09-30T10:35:47.260Z,40
2021-09-30T10:35:47.777Z,44
2021-09-30T10:35:48.486Z,84
2021-09-30T10:35:48.900Z,196
2021-09-30T10:35:49.510Z,324
2021-09-30T10:35:50.432Z,204
2021-09-30T10:35:51.050Z,236
2021-09-30T10:35:51.659Z,314
2021-09-30T10:35:52.068Z,200
2021-09-30T10:35:53.094Z,230
2021-09-30T10:35:53.606Z,342
2021-09-30T10:35:54.321Z,302
2021-09-30T10:35:54.728Z,232
2021-09-30T10:35:55.342Z,204
2021-09-30T10:35:56.365Z,260
2021-09-30T10:35:56.985Z,208
2021-09-30T10:35:57.390Z,168
2021-09-30T10:35:58.007Z,230
2021-09-30T10:35:59.025Z,324
2021-09-30T10:35:59.640Z,292
2021-09-30T10:36:00.050Z,90
2021-09-30T10:36:00.665Z,80
2021-09-30T10:36:01.074Z,78
2021-09-30T10:36:01.686Z,46
2021-09-30T10:36:02.301Z,54
2021-09-30T10:36:03.323Z,56
2021-09-30T10:36:03.733Z,50
2021-09-30T10:36:04.246Z,38
2021-09-30T10:36:04.961Z,42
2021-09-30T10:36:05.372Z,50
2021-09-30T10:36:05.986Z,54
2021-09-30T10:36:06.395Z,44
2021-09-30T10:36:07.011Z,42
2021-09-30T10:36:08.238Z,36
2021-09-30T10:36:09.262Z,48
2021-09-30T10:36:09.874Z,218
2021-09-30T10:36:10.295Z,254
2021-09-30T10:36:11.513Z,162
2021-09-30T10:36:12.549Z,252
2021-09-30T10:36:12.945Z,350
2021-09-30T10:36:13.559Z,322
2021-09-30T10:36:14.582Z,196
2021-09-30T10:36:15.204Z,310
2021-09-30T10:36:15.606Z,180
2021-09-30T10:36:16.221Z,120
2021-09-30T10:36:16.632Z,172
2021-09-30T10:36:17.244Z,306
2021-09-30T10:36:17.660Z,244
2021-09-30T10:36:18.266Z,142
2021-09-30T10:36:19.290Z,312
2021-09-30T10:36:19.906Z,274
2021-09-30T10:36:20.316Z,222
2021-09-30T10:36:20.931Z,96
2021-09-30T10:36:21.539Z,52
2021-09-30T10:36:22.561Z,52
2021-09-30T10:36:23.177Z,64
2021-09-30T10:40:39.219Z,64
2021-09-30T10:40:40.238Z,46
2021-09-30T10:40:41.055Z,42
2021-09-30T10:40:42.388Z,42
2021-09-30T10:40:43.002Z,44
2021-09-30T10:40:43.513Z,46
2021-09-30T10:40:57.122Z,46
2021-09-30T10:40:58.249Z,54
2021-09-30T10:40:59.278Z,54
2021-09-30T10:41:00.298Z,48
2021-09-30T10:41:01.011Z,46
2021-09-30T10:41:16.363Z,52
2021-09-30T10:41:17.387Z,44
2021-09-30T10:41:18.305Z,166
2021-09-30T10:41:19.535Z,202
2021-09-30T10:41:20.560Z,194
2021-09-30T10:41:21.580Z,174
2021-09-30T10:41:22.094Z,218
2021-09-30T10:41:23.221Z,208
2021-09-30T10:41:24.245Z,212
2021-09-30T10:41:25.267Z,246
2021-09-30T10:41:26.288Z,198
2021-09-30T10:41:27.415Z,250
2021-09-30T10:41:28.447Z,234
2021-09-30T10:41:29.464Z,68
2021-09-30T10:41:30.592Z,64
2021-09-30T10:41:31.098Z,78
2021-09-30T10:41:32.137Z,74
2021-09-30T10:41:33.143Z,66
2021-09-30T10:41:34.271Z,54
2021-09-30T10:41:35.293Z,46
2021-09-30T10:41:36.324Z,42
2021-09-30T10:41:37.341Z,42
2021-09-30T10:41:38.370Z,28
2021-09-30T10:41:39.390Z,162
2021-09-30T10:41:40.010Z,232
2021-09-30T10:41:40.409Z,192
2021-09-30T10:41:41.024Z,300
2021-09-30T10:41:41.637Z,296
2021-09-30T10:41:42.047Z,226
2021-09-30T10:41:42.661Z,210
2021-09-30T10:41:43.071Z,296
2021-09-30T10:41:44.299Z,230
2021-09-30T10:41:45.324Z,286
2021-09-30T10:41:46.346Z,322
2021-09-30T10:41:47.268Z,222
2021-09-30T10:41:48.499Z,236
2021-09-30T10:41:49.517Z,224
2021-09-30T10:41:50.542Z,126
2021-09-30T10:41:51.156Z,80
2021-09-30T10:41:52.182Z,62
2021-09-30T10:41:53.203Z,70
2021-09-30T10:41:54.229Z,54
2021-09-30T10:41:55.452Z,52
2021-09-30T10:41:56.476Z,52
2021-09-30T10:41:57.500Z,44
2021-09-30T10:41:58.626Z,48
2021-09-30T10:41:59.039Z,42
2021-09-30T10:41:59.652Z,52
2021-09-30T10:42:00.057Z,80
2021-09-30T10:42:01.091Z,360
2021-09-30T10:42:02.317Z,176
2021-09-30T10:42:03.333Z,310
2021-09-30T10:42:04.357Z,276
2021-09-30T10:42:05.397Z,250
2021-09-30T10:42:06.006Z,236
2021-09-30T10:42:06.402Z,234
2021-09-30T10:42:07.018Z,160
2021-09-30T10:42:08.040Z,216
2021-09-30T10:42:09.062Z,324
2021-09-30T10:42:10.085Z,340
2021-09-30T10:42:11.111Z,294
2021-09-30T10:42:12.349Z,54
2021-09-30T10:42:13.362Z,62
2021-09-30T10:42:14.386Z,50
2021-09-30T10:42:15.408Z,46
2021-09-30T10:42:16.548Z,46
2021-09-30T10:42:17.148Z,44
2021-09-30T10:42:18.068Z,44
2021-09-30T10:42:19.095Z,42
2021-09-30T10:42:20.226Z,48
2021-09-30T10:42:21.243Z,52
2021-09-30T10:42:22.367Z,294
2021-09-30T10:42:23.288Z,220
2021-09-30T10:42:24.515Z,290
2021-09-30T10:42:25.032Z,184
2021-09-30T10:42:25.436Z,262
2021-09-30T10:42:26.052Z,338
2021-09-30T10:42:27.110Z,232
2021-09-30T10:42:28.201Z,238
2021-09-30T10:42:29.226Z,308
2021-09-30T10:42:30.247Z,238
2021-09-30T10:42:30.863Z,282
2021-09-30T10:42:31.374Z,266
2021-09-30T10:42:32.294Z,218
2021-09-30T10:42:33.522Z,56
2021-09-30T10:42:34.033Z,66
